# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  1                1.00000000E-05   1.13499440E+02   8.38124016E-01   1.60473435E-01   7.74386065E-04   5.25265192E-04   9.06985357E-96   9.44524973E-07   4.69724002E-05   2.77003525E-05  
  2                8.55917294E-05   1.35973264E+02   8.38123819E-01   1.60473397E-01   7.74385781E-04   5.25264999E-04   9.52834073E-80   9.44524626E-07   4.69723830E-05   2.77003423E-05  
  3                1.74452743E-04   1.48913623E+02   8.38122630E-01   1.60473169E-01   7.74371062E-04   5.25255015E-04   1.16141376E-72   9.44506673E-07   4.69714905E-05   2.76998159E-05  
  4                2.81154307E-04   1.58582847E+02   8.38116616E-01   1.60472018E-01   7.74387892E-04   5.25266430E-04   4.00069764E-68   9.44527200E-07   4.69725116E-05   2.77004180E-05  
  5                4.10097380E-04   1.67651551E+02   8.38108076E-01   1.60470383E-01   7.74315119E-04   5.25217069E-04   2.44065277E-64   9.44438439E-07   4.69680978E-05   2.76978149E-05  
  6                5.66608403E-04   1.74069075E+02   8.37992182E-01   1.60448193E-01   7.74410263E-04   5.25281605E-04   6.47419913E-62   9.44554486E-07   4.69738694E-05   2.77012184E-05  
  7                7.57020995E-04   1.81155220E+02   8.38124566E-01   1.60473540E-01   7.74023165E-04   5.25019037E-04   1.98358876E-59   9.44082340E-07   4.69503895E-05   2.76873718E-05  
  8                9.88838660E-04   1.86719042E+02   8.37624870E-01   1.60377865E-01   7.74536081E-04   5.25366947E-04   1.27478591E-57   9.44707947E-07   4.69815023E-05   2.77057193E-05  
  9                1.27121572E-03   1.93281590E+02   8.38123115E-01   1.60473262E-01   7.74996800E-04   5.25679452E-04   1.30267622E-55   9.45269890E-07   4.70094490E-05   2.77221998E-05  
  10               1.61542345E-03   1.98528035E+02   8.38123115E-01   1.60473262E-01   7.74996802E-04   5.25679454E-04   4.11803758E-54   9.45269892E-07   4.70094498E-05   2.77222001E-05  
  11               2.03516589E-03   2.04932712E+02   8.38123115E-01   1.60473262E-01   7.74996805E-04   5.25679455E-04   2.24725024E-52   9.45269895E-07   4.70094507E-05   2.77222004E-05  
  12               2.54704397E-03   2.10114061E+02   8.38123115E-01   1.60473262E-01   7.74996808E-04   5.25679457E-04   4.66911575E-51   9.45269899E-07   4.70094518E-05   2.77222008E-05  
  13               3.17124287E-03   2.16499955E+02   8.38123115E-01   1.60473262E-01   7.74996811E-04   5.25679460E-04   1.64397963E-49   9.45269903E-07   4.70094530E-05   2.77222012E-05  
  14               3.93232953E-03   2.21709852E+02   8.38123115E-01   1.60473262E-01   7.74996816E-04   5.25679463E-04   2.52378762E-48   9.45269907E-07   4.70094543E-05   2.77222017E-05  
