# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              H2S             
  1                1.00000000E-05   2.29921514E+02   8.38528366E-01   1.60550839E-01   3.38640943E-45   5.05242512E-04   2.83946079E-04   6.03475174E-05   4.29717300E-05   2.29944137E-05  
  2                8.83427730E-05   2.76431083E+02   8.38528526E-01   1.60550681E-01   2.38245189E-37   5.05241602E-04   2.83945567E-04   6.03474080E-05   4.29716526E-05   2.29943911E-05  
  3                1.73156926E-04   2.94167783E+02   8.38528821E-01   1.60550390E-01   5.16897449E-35   5.05238947E-04   2.83944076E-04   6.03470894E-05   4.29714269E-05   2.29943494E-05  
  4                2.69247810E-04   3.08144861E+02   8.38529366E-01   1.60549849E-01   2.36226517E-33   5.05235794E-04   2.83942304E-04   6.03467108E-05   4.29711588E-05   2.29942720E-05  
  5                3.79398697E-04   3.16748635E+02   8.38529683E-01   1.60549538E-01   2.00878204E-32   5.05232114E-04   2.83940236E-04   6.03462691E-05   4.29708460E-05   2.29942275E-05  
  6                5.06343199E-04   3.26684526E+02   8.38530412E-01   1.60548810E-01   2.15914779E-31   5.05228167E-04   2.83938018E-04   6.03457951E-05   4.29705104E-05   2.29941232E-05  
  7                6.52990640E-04   3.33515313E+02   8.38530789E-01   1.60548441E-01   9.85233547E-31   5.05223638E-04   2.83935473E-04   6.03452515E-05   4.29701253E-05   2.29940703E-05  
  8                8.22647016E-04   3.42548258E+02   8.38531808E-01   1.60547430E-01   6.99300434E-30   5.05219335E-04   2.83933055E-04   6.03447348E-05   4.29697596E-05   2.29939255E-05  
  9                1.01909801E-03   3.48869720E+02   8.38532279E-01   1.60546947E-01   2.51924486E-29   5.05214290E-04   2.83930220E-04   6.03441292E-05   4.29693306E-05   2.29938564E-05  
  10               1.24681616E-03   3.57324778E+02   8.38533490E-01   1.60545746E-01   1.35190915E-28   5.05209213E-04   2.83927367E-04   6.03435199E-05   4.29688990E-05   2.29936844E-05  
  11               1.51096556E-03   3.63215847E+02   8.38533984E-01   1.60545261E-01   4.04536431E-28   5.05203899E-04   2.83924381E-04   6.03428820E-05   4.29684472E-05   2.29936149E-05  
  12               1.81758347E-03   3.71306780E+02   8.38535140E-01   1.60543971E-01   1.78347740E-27   5.05199743E-04   2.83922046E-04   6.03423826E-05   4.29680939E-05   2.29934301E-05  
  13               2.17365660E-03   3.76918628E+02   8.38535595E-01   1.60543526E-01   4.67701456E-27   5.05194349E-04   2.83919015E-04   6.03417352E-05   4.29676354E-05   2.29933663E-05  
  14               2.58731626E-03   3.84832887E+02   8.38536864E-01   1.60542266E-01   1.79824666E-26   5.05189009E-04   2.83916014E-04   6.03410941E-05   4.29671813E-05   2.29931860E-05  
  15               3.06792365E-03   3.90446853E+02   8.38537293E-01   1.60541847E-01   4.40906855E-26   5.05183431E-04   2.83912880E-04   6.03404247E-05   4.29667071E-05   2.29931259E-05  
  16               3.62631135E-03   3.98572630E+02   8.38538599E-01   1.60540545E-01   1.60025563E-25   5.05181488E-04   2.83911788E-04   6.03401892E-05   4.29665420E-05   2.29929394E-05  
  17               4.27495765E-03   4.04475447E+02   8.38539076E-01   1.60540078E-01   3.85995783E-25   5.05175836E-04   2.83908612E-04   6.03395108E-05   4.29660615E-05   2.29928725E-05  
  18               5.02819830E-03   4.13135093E+02   8.38539753E-01   1.60538554E-01   1.39074494E-24   5.05169909E-04   2.83905281E-04   6.03387994E-05   4.29655576E-05   2.29926542E-05  
  19               5.90239497E-03   4.19735361E+02   8.38540444E-01   1.60537871E-01   3.49360547E-24   5.05163382E-04   2.83901613E-04   6.03380163E-05   4.29650027E-05   2.29925565E-05  
  20               6.91655985E-03   4.29209359E+02   8.38541911E-01   1.60536390E-01   1.28754382E-23   5.05167112E-04   2.83903710E-04   6.03384582E-05   4.29653201E-05   2.29923444E-05  
  21               8.09274281E-03   4.36520890E+02   8.38542568E-01   1.60535688E-01   3.32421514E-23   5.05161941E-04   2.83900804E-04   6.03378368E-05   4.29648805E-05   2.29922438E-05  
  22               9.45564084E-03   4.47189431E+02   8.38543758E-01   1.60534086E-01   1.29628503E-22   5.05158033E-04   2.83898608E-04   6.03373663E-05   4.29645483E-05   2.29920143E-05  
  23               1.10347171E-02   4.54814029E+02   8.38544107E-01   1.60533749E-01   3.21999014E-22   5.05151517E-04   2.83894947E-04   6.03365841E-05   4.29639944E-05   2.29919661E-05  
  24               1.28648466E-02   4.65637915E+02   8.38543149E-01   1.60532017E-01   1.14587629E-21   5.05175185E-04   2.83908248E-04   6.03394070E-05   4.29660076E-05   2.29917180E-05  
  25               1.49850906E-02   4.73893839E+02   8.38543949E-01   1.60531230E-01   2.84498808E-21   5.05167546E-04   2.83903956E-04   6.03384904E-05   4.29653581E-05   2.29916054E-05  
  26               1.74401493E-02   4.85435871E+02   8.38545110E-01   1.60530082E-01   9.89330324E-21   5.05160936E-04   2.83900242E-04   6.03376967E-05   4.29647962E-05   2.29914408E-05  
  27               2.02806760E-02   4.94548680E+02   8.38545677E-01   1.60529527E-01   2.49529094E-20   5.05154405E-04   2.83896571E-04   6.03369120E-05   4.29642409E-05   2.29913613E-05  
  28               2.35642522E-02   5.07105576E+02   8.38546713E-01   1.60528503E-01   8.66762031E-20   5.05147599E-04   2.83892747E-04   6.03360945E-05   4.29636623E-05   2.29912147E-05  
  29               2.73561654E-02   5.17406368E+02   8.38547272E-01   1.60527955E-01   2.26575070E-19   5.05140837E-04   2.83888947E-04   6.03352821E-05   4.29630874E-05   2.29911363E-05  
  30               3.17331638E-02   5.31215738E+02   8.38548180E-01   1.60527060E-01   7.91962402E-19   5.05133842E-04   2.83885016E-04   6.03344418E-05   4.29624928E-05   2.29910080E-05  
  31               3.67816749E-02   5.42911019E+02   8.38548708E-01   1.60526544E-01   2.14531008E-18   5.05126851E-04   2.83881088E-04   6.03336017E-05   4.29618985E-05   2.29909341E-05  
  32               4.25989133E-02   5.58320215E+02   8.38549494E-01   1.60525772E-01   7.63051293E-18   5.05119632E-04   2.83877032E-04   6.03327343E-05   4.29612848E-05   2.29908235E-05  
  33               4.92915205E-02   5.71991286E+02   8.38549997E-01   1.60525281E-01   2.19768240E-17   5.05112368E-04   2.83872949E-04   6.03318612E-05   4.29606672E-05   2.29907533E-05  
  34               5.69785114E-02   5.89693971E+02   8.38550676E-01   1.60524615E-01   8.18181651E-17   5.05104862E-04   2.83868732E-04   6.03309592E-05   4.29600292E-05   2.29906579E-05  
  35               6.57892307E-02   6.05929625E+02   8.38551136E-01   1.60524168E-01   2.53145849E-16   5.05097276E-04   2.83864469E-04   6.03300473E-05   4.29593843E-05   2.29905939E-05  
  36               7.58636684E-02   6.26384080E+02   8.38551693E-01   1.60523624E-01   9.80761512E-16   5.05089458E-04   2.83860076E-04   6.03291074E-05   4.29587196E-05   2.29905160E-05  
  37               8.73585748E-02   6.45780230E+02   8.38552085E-01   1.60523242E-01   3.25165210E-15   5.05081570E-04   2.83855644E-04   6.03281590E-05   4.29580491E-05   2.29904613E-05  
  38               1.00452466E-01   6.69777644E+02   8.38552515E-01   1.60522813E-01   1.31798717E-14   5.05073502E-04   2.83851110E-04   6.03271888E-05   4.29573632E-05   2.29903998E-05  
