# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  1                1.00000000E-05   2.30521404E+02   8.38481370E-01   1.60541840E-01   4.55324804E-45   4.42594672E-04   3.40470106E-04   1.04788150E-04   5.99927916E-05   2.29939364E-05  
  2                1.16433992E-04   2.71519838E+02   8.38481411E-01   1.60541799E-01   3.73724976E-38   4.42594643E-04   3.40470083E-04   1.04788143E-04   5.99927811E-05   2.29939305E-05  
  3                2.33847756E-04   2.89363448E+02   8.38481501E-01   1.60541709E-01   1.01303073E-35   4.42594642E-04   3.40470083E-04   1.04788143E-04   5.99927632E-05   2.29939176E-05  
  4                3.68336986E-04   3.00529862E+02   8.38481590E-01   1.60541620E-01   2.33794444E-34   4.42594617E-04   3.40470063E-04   1.04788137E-04   5.99927413E-05   2.29939048E-05  
  5                5.23940589E-04   3.10001845E+02   8.38481705E-01   1.60541504E-01   2.81934349E-33   4.42594621E-04   3.40470066E-04   1.04788138E-04   5.99927233E-05   2.29938882E-05  
  6                7.04665302E-04   3.17952608E+02   8.38481821E-01   1.60541385E-01   2.01676971E-32   4.42594544E-04   3.40470007E-04   1.04788120E-04   5.99926942E-05   2.29938712E-05  
  7                9.14982340E-04   3.25830840E+02   8.38481992E-01   1.60541215E-01   1.30132126E-31   4.42594530E-04   3.40469996E-04   1.04788117E-04   5.99926736E-05   2.29938468E-05  
  8                1.16001432E-03   3.32905861E+02   8.38482166E-01   1.60541040E-01   6.39992771E-31   4.42594361E-04   3.40469866E-04   1.04788077E-04   5.99926318E-05   2.29938218E-05  
  9                1.44569456E-03   3.40281001E+02   8.38482413E-01   1.60540785E-01   3.16566561E-30   4.42594220E-04   3.40469757E-04   1.04788043E-04   5.99925932E-05   2.29937853E-05  
  10               1.77892729E-03   3.47073259E+02   8.38482669E-01   1.60540530E-01   1.29153161E-29   4.42594087E-04   3.40469655E-04   1.04788012E-04   5.99925554E-05   2.29937487E-05  
  11               2.16786177E-03   3.54145136E+02   8.38483011E-01   1.60540188E-01   5.29963616E-29   4.42593870E-04   3.40469487E-04   1.04787961E-04   5.99925055E-05   2.29936998E-05  
  12               2.62200178E-03   3.60731637E+02   8.38483280E-01   1.60539849E-01   1.86625703E-28   4.42593430E-04   3.40469149E-04   1.04787857E-04   5.99924249E-05   2.29936511E-05  
  13               3.15242035E-03   3.67718797E+02   8.38483722E-01   1.60539406E-01   6.78970857E-28   4.42593691E-04   3.40469349E-04   1.04787919E-04   5.99924386E-05   2.29935877E-05  
  14               3.77199835E-03   3.74367848E+02   8.38484146E-01   1.60538983E-01   2.20787450E-27   4.42593123E-04   3.40468912E-04   1.04787784E-04   5.99923392E-05   2.29935272E-05  
  15               4.49574468E-03   3.81455756E+02   8.38484693E-01   1.60538437E-01   7.45201679E-27   4.42592715E-04   3.40468598E-04   1.04787687E-04   5.99922611E-05   2.29934490E-05  
  16               5.34106352E-03   3.88311295E+02   8.38485226E-01   1.60537906E-01   2.30748060E-26   4.42591890E-04   3.40467963E-04   1.04787492E-04   5.99921258E-05   2.29933729E-05  
  17               6.32812627E-03   3.95728062E+02   8.38485913E-01   1.60537217E-01   7.53940591E-26   4.42593283E-04   3.40469034E-04   1.04787822E-04   5.99922906E-05   2.29932742E-05  
  18               7.48034634E-03   4.02998694E+02   8.38486318E-01   1.60536489E-01   2.29932622E-25   4.42592321E-04   3.40468294E-04   1.04787594E-04   5.99921353E-05   2.29931700E-05  
  19               8.82482997E-03   4.10882260E+02   8.38487197E-01   1.60535613E-01   7.40421132E-25   4.42591451E-04   3.40467625E-04   1.04787389E-04   5.99919920E-05   2.29930444E-05  
  20               1.03928021E-02   4.18720176E+02   8.38488041E-01   1.60534771E-01   2.26153781E-24   4.42589977E-04   3.40466491E-04   1.04787040E-04   5.99917659E-05   2.29929238E-05  
  21               1.22204097E-02   4.27321409E+02   8.38489078E-01   1.60533716E-01   7.38762903E-24   4.42596112E-04   3.40471209E-04   1.04788492E-04   5.99925701E-05   2.29927728E-05  
  22               1.43495956E-02   4.36059839E+02   8.38490125E-01   1.60532648E-01   2.34211160E-23   4.42594930E-04   3.40470301E-04   1.04788213E-04   5.99923819E-05   2.29926198E-05  
  23               1.68277086E-02   4.45918626E+02   8.38488632E-01   1.60530769E-01   8.21566325E-23   4.42596261E-04   3.40471324E-04   1.04788528E-04   5.99925330E-05   2.29923507E-05  
  24               1.97103873E-02   4.55258361E+02   8.38489670E-01   1.60529385E-01   2.54920702E-22   4.42592218E-04   3.40468213E-04   1.04787571E-04   5.99919545E-05   2.29921525E-05  
  25               2.30649952E-02   4.64933303E+02   8.38490529E-01   1.60528464E-01   7.85428068E-22   4.42621510E-04   3.40490746E-04   1.04794506E-04   5.99958933E-05   2.29920206E-05  
  26               2.69663127E-02   4.74975437E+02   8.38491669E-01   1.60527328E-01   2.40691981E-21   4.42619993E-04   3.40489579E-04   1.04794147E-04   5.99956548E-05   2.29918578E-05  
  27               3.14998264E-02   4.85556122E+02   8.38492829E-01   1.60526170E-01   7.46068240E-21   4.42618873E-04   3.40488717E-04   1.04793882E-04   5.99954683E-05   2.29916920E-05  
  28               3.67628365E-02   4.96583725E+02   8.38493967E-01   1.60525036E-01   2.30575021E-20   4.42617412E-04   3.40487593E-04   1.04793536E-04   5.99952342E-05   2.29915295E-05  
  29               4.28654691E-02   5.08259456E+02   8.38495106E-01   1.60523900E-01   7.23145389E-20   4.42616319E-04   3.40486752E-04   1.04793278E-04   5.99950480E-05   2.29913668E-05  
  30               4.99326837E-02   5.20574144E+02   8.38496220E-01   1.60522789E-01   2.28702077E-19   4.42614960E-04   3.40485706E-04   1.04792956E-04   5.99948236E-05   2.29912077E-05  
  31               5.81102437E-02   5.33757421E+02   8.38497325E-01   1.60521686E-01   7.41401023E-19   4.42613912E-04   3.40484899E-04   1.04792708E-04   5.99946392E-05   2.29910497E-05  
  32               6.75627890E-02   5.47749021E+02   8.38498385E-01   1.60520629E-01   2.43198168E-18   4.42612690E-04   3.40483959E-04   1.04792419E-04   5.99944288E-05   2.29908983E-05  
  33               7.84732002E-02   5.62812700E+02   8.38499413E-01   1.60519603E-01   8.20087920E-18   4.42611741E-04   3.40483228E-04   1.04792194E-04   5.99942530E-05   2.29907514E-05  
  34               9.10426705E-02   5.78908936E+02   8.38500377E-01   1.60518641E-01   2.80824514E-17   4.42610721E-04   3.40482444E-04   1.04791953E-04   5.99940651E-05   2.29906136E-05  
  35               1.05489990E-01   5.96420969E+02   8.38501297E-01   1.60517722E-01   9.96941180E-17   4.42609926E-04   3.40481831E-04   1.04791765E-04   5.99939048E-05   2.29904821E-05  
