# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CO               CH4              N2               H2S             
  1                1.00000000E-05   2.32838319E+02   8.38304630E-01   1.60508002E-01   5.98088266E-04   1.40843395E-44   1.40884198E-04   3.57922534E-04   5.81579258E-05   2.29887021E-05  
  2                5.35272243E-04   2.65513899E+02   8.38304622E-01   1.60508009E-01   5.98088342E-04   1.96560122E-39   1.40884215E-04   3.57922580E-04   5.81579338E-05   2.29887032E-05  
  3                1.12291023E-03   2.84582156E+02   8.38304624E-01   1.60508007E-01   5.98088517E-04   1.00913970E-36   1.40884257E-04   3.57922685E-04   5.81579549E-05   2.29887028E-05  
  4                1.79528887E-03   2.97468261E+02   8.38304627E-01   1.60508004E-01   5.98088629E-04   4.31377738E-35   1.40884283E-04   3.57922751E-04   5.81579684E-05   2.29887023E-05  
  5                2.57181108E-03   3.08235927E+02   8.38304632E-01   1.60507998E-01   5.98088712E-04   7.83590826E-34   1.40884302E-04   3.57922801E-04   5.81579785E-05   2.29887016E-05  
  6                3.47215442E-03   3.17471209E+02   8.38304638E-01   1.60507992E-01   5.98088778E-04   8.01539934E-33   1.40884317E-04   3.57922840E-04   5.81579867E-05   2.29887006E-05  
  7                4.51818337E-03   3.26434165E+02   8.38304648E-01   1.60507981E-01   5.98088844E-04   6.79445678E-32   1.40884333E-04   3.57922880E-04   5.81579946E-05   2.29886991E-05  
  8                5.73500040E-03   3.34463791E+02   8.38304657E-01   1.60507969E-01   5.98088885E-04   4.15454059E-31   1.40884342E-04   3.57922904E-04   5.81580001E-05   2.29886973E-05  
  9                7.15173398E-03   3.42601286E+02   8.38304675E-01   1.60507951E-01   5.98088962E-04   2.39939083E-30   1.40884361E-04   3.57922950E-04   5.81580091E-05   2.29886948E-05  
  10               8.80237967E-03   3.50067157E+02   8.38304694E-01   1.60507932E-01   5.98088985E-04   1.10857358E-29   1.40884366E-04   3.57922964E-04   5.81580127E-05   2.29886920E-05  
  11               1.07268769E-02   3.57717311E+02   8.38304706E-01   1.60507902E-01   5.98088988E-04   4.99485000E-29   1.40884366E-04   3.57922966E-04   5.81580143E-05   2.29886879E-05  
  12               1.29714018E-02   3.64943288E+02   8.38304736E-01   1.60507872E-01   5.98089310E-04   1.94374583E-28   1.40884442E-04   3.57923158E-04   5.81580469E-05   2.29886835E-05  
