# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  1                1.00000000E-05   2.16844386E+02   8.38161500E-01   1.60480607E-01   7.50724758E-04   3.54698719E-48   5.03065392E-04   9.36586529E-06   5.37927385E-05   2.29832837E-05  
  2                8.51416634E-05   2.45114235E+02   8.38161501E-01   1.60480606E-01   7.50724757E-04   1.34370667E-42   5.03065391E-04   9.36586529E-06   5.37927384E-05   2.29832835E-05  
  3                1.73574751E-04   2.64057394E+02   8.38161507E-01   1.60480600E-01   7.50724753E-04   2.00292432E-39   5.03065388E-04   9.36586523E-06   5.37927381E-05   2.29832827E-05  
  4                2.80235812E-04   2.67677054E+02   8.38161505E-01   1.60480603E-01   7.50724770E-04   6.02790272E-39   5.03065400E-04   9.36586545E-06   5.37927395E-05   2.29832831E-05  
  5                4.09779094E-04   2.79923878E+02   8.38161513E-01   1.60480594E-01   7.50724767E-04   3.60814529E-37   5.03065398E-04   9.36586541E-06   5.37927393E-05   2.29832819E-05  
  6                5.67428021E-04   2.81256249E+02   8.38161508E-01   1.60480599E-01   7.50724797E-04   4.77738442E-37   5.03065418E-04   9.36586578E-06   5.37927416E-05   2.29832826E-05  
  7                7.59687040E-04   2.91564460E+02   8.38161518E-01   1.60480590E-01   7.50724799E-04   1.11320948E-35   5.03065419E-04   9.36586581E-06   5.37927418E-05   2.29832812E-05  
  8                9.94196145E-04   2.92638419E+02   8.38161512E-01   1.60480595E-01   7.50724842E-04   1.35346489E-35   5.03065448E-04   9.36586635E-06   5.37927451E-05   2.29832820E-05  
  9                1.28042380E-03   3.02488665E+02   8.38161524E-01   1.60480583E-01   7.50724850E-04   2.20533357E-34   5.03065453E-04   9.36586644E-06   5.37927458E-05   2.29832802E-05  
  10               1.62971422E-03   3.03632657E+02   8.38161517E-01   1.60480590E-01   7.50724910E-04   2.70978104E-34   5.03065494E-04   9.36586719E-06   5.37927503E-05   2.29832812E-05  
  11               2.05609869E-03   3.13341882E+02   8.38161533E-01   1.60480574E-01   7.50724926E-04   3.50557312E-33   5.03065504E-04   9.36586739E-06   5.37927517E-05   2.29832789E-05  
  12               2.57651674E-03   3.14511454E+02   8.38161523E-01   1.60480583E-01   7.50725009E-04   4.27516220E-33   5.03065560E-04   9.36586843E-06   5.37927580E-05   2.29832802E-05  
  13               3.21181409E-03   3.24155444E+02   8.38161543E-01   1.60480562E-01   7.50725056E-04   4.57931550E-32   5.03065591E-04   9.36586901E-06   5.37927617E-05   2.29832773E-05  
  14               3.98717637E-03   3.25462760E+02   8.38161532E-01   1.60480573E-01   7.50725171E-04   5.68906815E-32   5.03065668E-04   9.36587044E-06   5.37927703E-05   2.29832789E-05  
  15               4.93341278E-03   3.35306035E+02   8.38161558E-01   1.60480547E-01   7.50725217E-04   5.45434077E-31   5.03065699E-04   9.36587103E-06   5.37927741E-05   2.29832751E-05  
  16               6.08772022E-03   3.36836931E+02   8.38161540E-01   1.60480560E-01   7.50725369E-04   7.00790711E-31   5.03065801E-04   9.36587292E-06   5.37927855E-05   2.29832770E-05  
  17               7.49555558E-03   3.47050372E+02   8.38161575E-01   1.60480525E-01   7.50725489E-04   6.25821269E-30   5.03065881E-04   9.36587441E-06   5.37927947E-05   2.29832720E-05  
  18               9.21193642E-03   3.48963574E+02   8.38161558E-01   1.60480542E-01   7.50725690E-04   8.54680940E-30   5.03066016E-04   9.36587692E-06   5.37928097E-05   2.29832743E-05  
  19               1.13039078E-02   3.59671420E+02   8.38161593E-01   1.60480492E-01   7.50725767E-04   7.24939503E-29   5.03066068E-04   9.36587788E-06   5.37928159E-05   2.29832672E-05  
  20               1.38522240E-02   3.62088857E+02   8.38161574E-01   1.60480510E-01   7.50726213E-04   1.06631906E-28   5.03066366E-04   9.36588344E-06   5.37928486E-05   2.29832699E-05  
  21               1.69555485E-02   3.73353400E+02   8.38161639E-01   1.60480445E-01   7.50726311E-04   8.60244239E-28   5.03066432E-04   9.36588467E-06   5.37928565E-05   2.29832604E-05  
  22               2.07325250E-02   3.76242105E+02   8.38161615E-01   1.60480469E-01   7.50726631E-04   1.33539694E-27   5.03066647E-04   9.36588866E-06   5.37928804E-05   2.29832639E-05  
  23               2.53274295E-02   3.87953330E+02   8.38161661E-01   1.60480371E-01   7.50726708E-04   9.95099859E-27   5.03066698E-04   9.36588962E-06   5.37928869E-05   2.29832499E-05  
  24               3.09141975E-02   3.91219578E+02   8.38161633E-01   1.60480397E-01   7.50727745E-04   1.58581610E-26   5.03067393E-04   9.36590256E-06   5.37929622E-05   2.29832536E-05  
  25               3.77039955E-02   4.03429581E+02   8.38161753E-01   1.60480277E-01   7.50727844E-04   1.09766438E-25   5.03067460E-04   9.36590379E-06   5.37929705E-05   2.29832364E-05  
  26               4.59490308E-02   4.07202577E+02   8.38161715E-01   1.60480314E-01   7.50728317E-04   1.81897903E-25   5.03067776E-04   9.36590969E-06   5.37930055E-05   2.29832417E-05  
  27               5.59520178E-02   4.20294156E+02   8.38161721E-01   1.60480111E-01   7.50728271E-04   1.23277408E-24   5.03067746E-04   9.36590912E-06   5.37930035E-05   2.29832127E-05  
  28               6.80759899E-02   4.24970609E+02   8.38161693E-01   1.60480130E-01   7.50731200E-04   2.22565978E-24   5.03069708E-04   9.36594566E-06   5.37932147E-05   2.29832154E-05  
  29               8.27614056E-02   4.39080645E+02   8.38161941E-01   1.60479882E-01   7.50731176E-04   1.47672968E-23   5.03069692E-04   9.36594535E-06   5.37932144E-05   2.29831799E-05  
  30               1.00529471E-01   4.44766771E+02   8.38161813E-01   1.60479892E-01   7.50731757E-04   2.88364929E-23   5.03070081E-04   9.36595260E-06   5.37932575E-05   2.29831813E-05  
  31               1.22006562E-01   4.60030249E+02   8.38161433E-01   1.60479462E-01   7.50731686E-04   1.86638158E-22   5.03070034E-04   9.36595172E-06   5.37932539E-05   2.29831197E-05  
  32               1.47929669E-01   4.67086732E+02   8.38161181E-01   1.60479332E-01   7.50742259E-04   4.02564323E-22   5.03077119E-04   9.36608362E-06   5.37940131E-05   2.29831011E-05  
  33               1.79169785E-01   4.83996023E+02   8.38161535E-01   1.60478969E-01   7.50747893E-04   2.62513982E-21   5.03080894E-04   9.36615390E-06   5.37944185E-05   2.29830490E-05  
  34               2.16720376E-01   4.93175967E+02   8.38161651E-01   1.60478851E-01   7.50748434E-04   6.57793131E-21   5.03081257E-04   9.36616066E-06   5.37944591E-05   2.29830322E-05  
  35               2.61839744E-01   5.10130572E+02   8.38160255E-01   1.60477656E-01   7.50745306E-04   3.53800257E-20   5.03079160E-04   9.36612163E-06   5.37942368E-05   2.29828610E-05  
  36               3.15970954E-01   5.20662531E+02   8.38160612E-01   1.60477209E-01   7.50795675E-04   9.16669121E-20   5.03112913E-04   9.36675003E-06   5.37978480E-05   2.29827971E-05  
  37               3.80854971E-01   5.39125016E+02   8.38161713E-01   1.60476112E-01   7.50794043E-04   4.73642749E-19   5.03111819E-04   9.36672966E-06   5.37977332E-05   2.29826399E-05  
  38               4.58508488E-01   5.51418581E+02   8.38162115E-01   1.60475709E-01   7.50794376E-04   1.28615602E-18   5.03112042E-04   9.36673381E-06   5.37977593E-05   2.29825822E-05  
  39               5.51349452E-01   5.71801287E+02   8.38163598E-01   1.60474231E-01   7.50791998E-04   6.46823086E-18   5.03110449E-04   9.36670414E-06   5.37975912E-05   2.29823705E-05  
  40               6.62146828E-01   5.86239270E+02   8.38164245E-01   1.60473584E-01   7.50791460E-04   1.84215099E-17   5.03110088E-04   9.36669743E-06   5.37975552E-05   2.29822779E-05  
  41               7.94101923E-01   6.08834238E+02   8.38166076E-01   1.60471759E-01   7.50788387E-04   8.96922511E-17   5.03108029E-04   9.36665910E-06   5.37973378E-05   2.29820165E-05  
  42               9.50823684E-01   6.25869474E+02   8.38166994E-01   1.60470843E-01   7.50787364E-04   2.67460105E-16   5.03107343E-04   9.36664633E-06   5.37972674E-05   2.29818854E-05  
  43               1.13679142E+00   6.51225379E+02   8.38169060E-01   1.60468783E-01   7.50783899E-04   1.26944149E-15   5.03105022E-04   9.36660310E-06   5.37970223E-05   2.29815903E-05  
  44               1.35706326E+00   6.71492535E+02   8.38170203E-01   1.60467641E-01   7.50782524E-04   3.96529894E-15   5.03104100E-04   9.36658595E-06   5.37969272E-05   2.29814267E-05  
  45               1.61725519E+00   7.00024519E+02   8.38172278E-01   1.60465569E-01   7.50779187E-04   1.81495916E-14   5.03101864E-04   9.36654431E-06   5.37966918E-05   2.29811300E-05  
  46               1.92347259E+00   7.23672241E+02   8.38173458E-01   1.60464376E-01   7.50777918E-04   5.74018252E-14   5.03101013E-04   9.36652848E-06   5.37966049E-05   2.29809591E-05  
  47               2.28313064E+00   7.55380782E+02   8.38175264E-01   1.60462536E-01   7.50775487E-04   2.45684629E-13   5.03099384E-04   9.36649815E-06   5.37964352E-05   2.29806956E-05  
  48               2.70428599E+00   7.82507927E+02   8.38176164E-01   1.60461420E-01   7.50775032E-04   7.64000531E-13   5.03099080E-04   9.36649250E-06   5.37964073E-05   2.29805355E-05  
  49               3.19681354E+00   8.17526839E+02   8.38177434E-01   1.60459892E-01   7.50778127E-04   3.01193219E-12   5.03101153E-04   9.36653121E-06   5.37966341E-05   2.29803163E-05  
  50               3.77124017E+00   8.48076018E+02   8.38178301E-01   1.60459005E-01   7.50782783E-04   8.95749565E-12   5.03104273E-04   9.36659011E-06   5.37969730E-05   2.29801883E-05  
  51               4.44053786E+00   8.86238540E+02   8.38179399E-01   1.60457873E-01   7.50782096E-04   3.19195848E-11   5.03103812E-04   9.36658666E-06   5.37969293E-05   2.29884341E-05  
  52               5.21799590E+00   9.19915410E+02   8.38179972E-01   1.60457178E-01   7.50782554E-04   8.85744261E-11   5.03104120E-04   9.36662960E-06   5.37969679E-05   2.30096001E-05  
  53               6.11740762E+00   9.60956900E+02   8.38180507E-01   1.60456274E-01   7.50783610E-04   2.82393957E-10   5.03104827E-04   9.36685648E-06   5.37970494E-05   2.30921043E-05  
  54               7.15465643E+00   9.97465340E+02   8.38179858E-01   1.60455519E-01   7.50787116E-04   7.22306082E-10   5.03107176E-04   9.36824074E-06   5.37973068E-05   2.32989801E-05  
  55               8.34913095E+00   1.04116377E+03   8.38178798E-01   1.60454562E-01   7.50812322E-04   2.05992545E-09   5.03124059E-04   9.37532966E-06   5.37991196E-05   2.42848312E-05  
  56               9.72396660E+00   1.08014071E+03   8.38179433E-01   1.60453886E-01   7.50812176E-04   4.82690310E-09   5.03123881E-04   9.41075943E-06   5.37991231E-05   2.42846492E-05  
  57               1.13041113E+01   1.12578838E+03   8.38180451E-01   1.60452707E-01   7.50810363E-04   1.22414739E-08   5.03121995E-04   9.56142885E-06   5.37990656E-05   2.42843031E-05  
  58               1.31155899E+01   1.16644954E+03   8.38181229E-01   1.60451328E-01   7.50803329E-04   2.60784653E-08   5.03111208E-04   1.01593098E-05   5.37991762E-05   2.42838458E-05  
  59               1.51889155E+01   1.21344146E+03   8.38182085E-01   1.60448668E-01   7.50755389E-04   5.91000982E-08   5.03040706E-04   1.20311365E-05   5.37996703E-05   2.42829648E-05  
